
  1%|█▍                                                                                                                            | 1113/100000 [00:22<24:49, 66.39it/s]
epoch 58000  training loss: 0.0617692656815052
epoch 58000  clean testing loss: 0.17401860654354095

 58%|████████████████████████████████████████████████████████████████████████▌                                                    | 58055/100000 [21:25<16:41, 41.87it/s]
epoch 58100  training loss: 0.054411113262176514

 58%|████████████████████████████████████████████████████████████████████████▋                                                    | 58135/100000 [21:27<16:49, 41.47it/s]
epoch 58200  training loss: 0.05669456347823143


 58%|████████████████████████████████████████████████████████████████████████▉                                                    | 58305/100000 [21:31<16:36, 41.83it/s]
epoch 58300  training loss: 0.05695107579231262

 58%|████████████████████████████████████████████████████████████████████████▉                                                    | 58390/100000 [21:33<16:40, 41.61it/s]
epoch 58400  training loss: 0.04439327120780945

 58%|█████████████████████████████████████████████████████████████████████████                                                    | 58475/100000 [21:35<16:23, 42.22it/s]
epoch 58500  training loss: 0.03739310801029205

 59%|█████████████████████████████████████████████████████████████████████████▏                                                   | 58560/100000 [21:37<16:29, 41.88it/s]
epoch 58600  training loss: 0.05140460282564163

 59%|█████████████████████████████████████████████████████████████████████████▎                                                   | 58640/100000 [21:39<16:28, 41.82it/s]
epoch 58700  training loss: 0.05870584771037102


 59%|█████████████████████████████████████████████████████████████████████████▌                                                   | 58810/100000 [21:43<16:14, 42.25it/s]
epoch 58800  training loss: 0.05611345171928406

 59%|█████████████████████████████████████████████████████████████████████████▌                                                   | 58895/100000 [21:45<16:15, 42.12it/s]
epoch 58900  training loss: 0.05038217455148697

 59%|█████████████████████████████████████████████████████████████████████████▋                                                   | 58980/100000 [21:47<16:20, 41.84it/s]
epoch 59000  training loss: 0.05283825099468231
epoch 59000  clean testing loss: 0.18308623135089874

 59%|█████████████████████████████████████████████████████████████████████████▊                                                   | 59060/100000 [21:49<16:28, 41.43it/s]
epoch 59100  training loss: 0.045325279235839844

 59%|█████████████████████████████████████████████████████████████████████████▉                                                   | 59145/100000 [21:51<16:25, 41.47it/s]
epoch 59200  training loss: 0.046562857925891876


 59%|██████████████████████████████████████████████████████████████████████████▏                                                  | 59310/100000 [21:55<16:19, 41.56it/s]
epoch 59300  training loss: 0.047240763902664185

 59%|██████████████████████████████████████████████████████████████████████████▏                                                  | 59395/100000 [21:57<16:16, 41.59it/s]
epoch 59400  training loss: 0.036690566688776016

 59%|██████████████████████████████████████████████████████████████████████████▎                                                  | 59480/100000 [21:59<16:11, 41.70it/s]
epoch 59500  training loss: 0.03320716321468353

 60%|██████████████████████████████████████████████████████████████████████████▍                                                  | 59565/100000 [22:01<15:51, 42.49it/s]
epoch 59600  training loss: 0.03158566728234291

 60%|██████████████████████████████████████████████████████████████████████████▌                                                  | 59650/100000 [22:03<15:51, 42.40it/s]
epoch 59700  training loss: 0.036646224558353424

 60%|██████████████████████████████████████████████████████████████████████████▋                                                  | 59735/100000 [22:05<15:46, 42.53it/s]
epoch 59800  training loss: 0.03694240003824234


 60%|██████████████████████████████████████████████████████████████████████████▉                                                  | 59905/100000 [22:09<15:42, 42.53it/s]
epoch 59900  training loss: 0.047491107136011124

 60%|██████████████████████████████████████████████████████████████████████████▉                                                  | 59990/100000 [22:11<15:40, 42.56it/s]
epoch 60000  training loss: 0.05841144174337387
epoch 60000  clean testing loss: 0.19154901802539825

 60%|███████████████████████████████████████████████████████████████████████████                                                  | 60075/100000 [22:13<15:57, 41.69it/s]
epoch 60100  training loss: 0.0423249751329422

 60%|███████████████████████████████████████████████████████████████████████████▏                                                 | 60155/100000 [22:15<15:53, 41.81it/s]
epoch 60200  training loss: 0.03549152612686157

 60%|███████████████████████████████████████████████████████████████████████████▎                                                 | 60240/100000 [22:17<15:53, 41.70it/s]
epoch 60300  training loss: 0.033231280744075775


 60%|███████████████████████████████████████████████████████████████████████████▌                                                 | 60410/100000 [22:21<15:49, 41.69it/s]
epoch 60400  training loss: 0.030802113935351372

 60%|███████████████████████████████████████████████████████████████████████████▌                                                 | 60495/100000 [22:23<15:30, 42.47it/s]
epoch 60500  training loss: 0.030067836865782738

 61%|███████████████████████████████████████████████████████████████████████████▋                                                 | 60580/100000 [22:25<15:41, 41.88it/s]
epoch 60600  training loss: 0.031776949763298035

 61%|███████████████████████████████████████████████████████████████████████████▊                                                 | 60665/100000 [22:27<15:30, 42.25it/s]
epoch 60700  training loss: 0.0321774035692215

 61%|███████████████████████████████████████████████████████████████████████████▉                                                 | 60745/100000 [22:29<15:25, 42.41it/s]
epoch 60800  training loss: 0.034042879939079285


 61%|████████████████████████████████████████████████████████████████████████████▏                                                | 60915/100000 [22:33<15:24, 42.25it/s]
epoch 60900  training loss: 0.03389190509915352

 61%|████████████████████████████████████████████████████████████████████████████▎                                                | 61000/100000 [22:35<15:16, 42.56it/s]
epoch 61000  training loss: 0.034860122948884964
epoch 61000  clean testing loss: 0.18968942761421204

 61%|████████████████████████████████████████████████████████████████████████████▎                                                | 61085/100000 [22:37<15:14, 42.55it/s]
epoch 61100  training loss: 0.032303910702466965

 61%|████████████████████████████████████████████████████████████████████████████▍                                                | 61175/100000 [22:39<15:12, 42.56it/s]
epoch 61200  training loss: 0.033647019416093826

 61%|████████████████████████████████████████████████████████████████████████████▌                                                | 61255/100000 [22:41<15:22, 41.98it/s]
epoch 61300  training loss: 0.04117995500564575

 61%|████████████████████████████████████████████████████████████████████████████▋                                                | 61340/100000 [22:43<15:29, 41.59it/s]
epoch 61400  training loss: 0.0533260814845562


 62%|████████████████████████████████████████████████████████████████████████████▉                                                | 61510/100000 [22:47<15:04, 42.54it/s]
epoch 61500  training loss: 0.05254703760147095

 62%|████████████████████████████████████████████████████████████████████████████▉                                                | 61595/100000 [22:49<15:08, 42.27it/s]
epoch 61600  training loss: 0.04360750690102577

 62%|█████████████████████████████████████████████████████████████████████████████                                                | 61680/100000 [22:51<15:18, 41.73it/s]
epoch 61700  training loss: 0.03884725645184517

 62%|█████████████████████████████████████████████████████████████████████████████▏                                               | 61765/100000 [22:53<15:18, 41.63it/s]
epoch 61800  training loss: 0.0346311591565609

 62%|█████████████████████████████████████████████████████████████████████████████▎                                               | 61845/100000 [22:55<15:10, 41.91it/s]
epoch 61900  training loss: 0.033350154757499695


 62%|█████████████████████████████████████████████████████████████████████████████▌                                               | 62015/100000 [22:59<15:30, 40.84it/s]
epoch 62000  training loss: 0.034228358417749405
epoch 62000  clean testing loss: 0.17329105734825134

 62%|█████████████████████████████████████████████████████████████████████████████▋                                               | 62100/100000 [23:01<14:59, 42.15it/s]
epoch 62100  training loss: 0.033256035298109055

 62%|█████████████████████████████████████████████████████████████████████████████▋                                               | 62185/100000 [23:03<15:06, 41.72it/s]
epoch 62200  training loss: 0.030612878501415253

 62%|█████████████████████████████████████████████████████████████████████████████▊                                               | 62245/100000 [23:05<15:04, 41.72it/s]
epoch 62300  training loss: 0.032273951917886734

 62%|█████████████████████████████████████████████████████████████████████████████▉                                               | 62330/100000 [23:07<14:58, 41.92it/s]
epoch 62400  training loss: 0.0334467887878418


 62%|██████████████████████████████████████████████████████████████████████████████▏                                              | 62500/100000 [23:11<14:48, 42.22it/s]
epoch 62500  training loss: 0.031964223831892014

 63%|██████████████████████████████████████████████████████████████████████████████▏                                              | 62585/100000 [23:13<14:53, 41.89it/s]
epoch 62600  training loss: 0.03380710631608963

 63%|██████████████████████████████████████████████████████████████████████████████▎                                              | 62670/100000 [23:15<14:38, 42.49it/s]
epoch 62700  training loss: 0.03498518466949463

 63%|██████████████████████████████████████████████████████████████████████████████▍                                              | 62755/100000 [23:17<15:07, 41.05it/s]
epoch 62800  training loss: 0.04697509482502937

 63%|██████████████████████████████████████████████████████████████████████████████▌                                              | 62835/100000 [23:19<14:48, 41.84it/s]
epoch 62900  training loss: 0.04080691561102867

 63%|██████████████████████████████████████████████████████████████████████████████▋                                              | 62920/100000 [23:21<14:50, 41.66it/s]
epoch 63000  training loss: 0.03957122564315796
epoch 63000  clean testing loss: 0.17170822620391846


 63%|██████████████████████████████████████████████████████████████████████████████▊                                              | 63090/100000 [23:25<14:42, 41.81it/s]
epoch 63100  training loss: 0.04453933238983154

 63%|██████████████████████████████████████████████████████████████████████████████▉                                              | 63175/100000 [23:27<14:25, 42.54it/s]
epoch 63200  training loss: 0.04683959484100342

 63%|███████████████████████████████████████████████████████████████████████████████                                              | 63260/100000 [23:29<14:39, 41.79it/s]
epoch 63300  training loss: 0.056533824652433395

 63%|███████████████████████████████████████████████████████████████████████████████▏                                             | 63345/100000 [23:31<14:42, 41.55it/s]
epoch 63400  training loss: 0.05378647521138191

 63%|███████████████████████████████████████████████████████████████████████████████▎                                             | 63425/100000 [23:33<14:35, 41.78it/s]
epoch 63500  training loss: 0.04609100520610809


 64%|███████████████████████████████████████████████████████████████████████████████▍                                             | 63595/100000 [23:37<14:18, 42.41it/s]
epoch 63600  training loss: 0.04262091964483261

 64%|███████████████████████████████████████████████████████████████████████████████▌                                             | 63680/100000 [23:39<14:23, 42.05it/s]
epoch 63700  training loss: 0.04307829588651657

 64%|███████████████████████████████████████████████████████████████████████████████▋                                             | 63765/100000 [23:41<14:30, 41.61it/s]
epoch 63800  training loss: 0.04320794716477394

 64%|███████████████████████████████████████████████████████████████████████████████▊                                             | 63850/100000 [23:43<14:17, 42.17it/s]
epoch 63900  training loss: 0.047426581382751465

 64%|███████████████████████████████████████████████████████████████████████████████▉                                             | 63935/100000 [23:45<14:07, 42.57it/s]
epoch 64000  training loss: 0.05462408810853958
epoch 64000  clean testing loss: 0.16847623884677887


 64%|████████████████████████████████████████████████████████████████████████████████▏                                            | 64105/100000 [23:49<14:07, 42.36it/s]
epoch 64100  training loss: 0.050356995314359665

 64%|████████████████████████████████████████████████████████████████████████████████▏                                            | 64190/100000 [23:51<14:02, 42.50it/s]
epoch 64200  training loss: 0.04157951474189758

 64%|████████████████████████████████████████████████████████████████████████████████▎                                            | 64270/100000 [23:53<14:17, 41.66it/s]
epoch 64300  training loss: 0.034907016903162

 64%|████████████████████████████████████████████████████████████████████████████████▍                                            | 64355/100000 [23:55<14:15, 41.64it/s]
epoch 64400  training loss: 0.031226832419633865

 64%|████████████████████████████████████████████████████████████████████████████████▌                                            | 64440/100000 [23:57<14:05, 42.05it/s]
epoch 64500  training loss: 0.033009547740221024

 65%|████████████████████████████████████████████████████████████████████████████████▋                                            | 64525/100000 [23:59<14:10, 41.72it/s]
epoch 64600  training loss: 0.04724099859595299


 65%|████████████████████████████████████████████████████████████████████████████████▊                                            | 64690/100000 [24:03<14:07, 41.69it/s]
epoch 64700  training loss: 0.04891710355877876

 65%|████████████████████████████████████████████████████████████████████████████████▉                                            | 64775/100000 [24:05<14:16, 41.12it/s]
epoch 64800  training loss: 0.045031823217868805

 65%|█████████████████████████████████████████████████████████████████████████████████                                            | 64860/100000 [24:07<13:46, 42.51it/s]
epoch 64900  training loss: 0.037164438515901566

 65%|█████████████████████████████████████████████████████████████████████████████████▏                                           | 64945/100000 [24:09<13:44, 42.53it/s]
epoch 65000  training loss: 0.03007836453616619
epoch 65000  clean testing loss: 0.17304746806621552

 65%|█████████████████████████████████████████████████████████████████████████████████▎                                           | 65030/100000 [24:11<13:59, 41.66it/s]
epoch 65100  training loss: 0.03011511079967022


 65%|█████████████████████████████████████████████████████████████████████████████████▌                                           | 65200/100000 [24:15<13:38, 42.53it/s]
epoch 65200  training loss: 0.03237117454409599

 65%|█████████████████████████████████████████████████████████████████████████████████▌                                           | 65285/100000 [24:17<13:36, 42.53it/s]
epoch 65300  training loss: 0.05066036432981491

 65%|█████████████████████████████████████████████████████████████████████████████████▋                                           | 65370/100000 [24:19<13:33, 42.55it/s]
epoch 65400  training loss: 0.04593411833047867

 65%|█████████████████████████████████████████████████████████████████████████████████▊                                           | 65455/100000 [24:21<13:31, 42.56it/s]
epoch 65500  training loss: 0.04128137230873108

 66%|█████████████████████████████████████████████████████████████████████████████████▉                                           | 65540/100000 [24:23<13:44, 41.82it/s]
epoch 65600  training loss: 0.03239383175969124


 66%|██████████████████████████████████████████████████████████████████████████████████▏                                          | 65710/100000 [24:27<13:37, 41.95it/s]
epoch 65700  training loss: 0.029202492907643318

 66%|██████████████████████████████████████████████████████████████████████████████████▏                                          | 65795/100000 [24:29<13:44, 41.47it/s]
epoch 65800  training loss: 0.03466029465198517

 66%|██████████████████████████████████████████████████████████████████████████████████▎                                          | 65880/100000 [24:31<13:19, 42.68it/s]
epoch 65900  training loss: 0.048036281019449234

 66%|██████████████████████████████████████████████████████████████████████████████████▍                                          | 65960/100000 [24:33<13:23, 42.35it/s]
epoch 66000  training loss: 0.031056342646479607
epoch 66000  clean testing loss: 0.1700001060962677

 66%|██████████████████████████████████████████████████████████████████████████████████▌                                          | 66045/100000 [24:35<13:32, 41.81it/s]
epoch 66100  training loss: 0.03235359862446785

 66%|██████████████████████████████████████████████████████████████████████████████████▋                                          | 66130/100000 [24:37<13:34, 41.59it/s]
epoch 66200  training loss: 0.038510795682668686


 66%|██████████████████████████████████████████████████████████████████████████████████▉                                          | 66300/100000 [24:41<13:21, 42.05it/s]
epoch 66300  training loss: 0.028771184384822845

 66%|██████████████████████████████████████████████████████████████████████████████████▉                                          | 66385/100000 [24:43<13:10, 42.54it/s]
epoch 66400  training loss: 0.04576060548424721

 66%|███████████████████████████████████████████████████████████████████████████████████                                          | 66470/100000 [24:45<13:23, 41.71it/s]
epoch 66500  training loss: 0.03272854909300804

 67%|███████████████████████████████████████████████████████████████████████████████████▏                                         | 66550/100000 [24:47<13:24, 41.59it/s]
epoch 66600  training loss: 0.027631394565105438

 67%|███████████████████████████████████████████████████████████████████████████████████▎                                         | 66635/100000 [24:49<13:03, 42.57it/s]
epoch 66700  training loss: 0.036168430000543594


 67%|███████████████████████████████████████████████████████████████████████████████████▌                                         | 66805/100000 [24:53<13:19, 41.51it/s]
epoch 66800  training loss: 0.04272043704986572

 67%|███████████████████████████████████████████████████████████████████████████████████▌                                         | 66890/100000 [24:55<13:11, 41.81it/s]
epoch 66900  training loss: 0.02920917049050331

 67%|███████████████████████████████████████████████████████████████████████████████████▋                                         | 66975/100000 [24:57<13:09, 41.83it/s]
epoch 67000  training loss: 0.0451551154255867
epoch 67000  clean testing loss: 0.16710180044174194

 67%|███████████████████████████████████████████████████████████████████████████████████▊                                         | 67060/100000 [24:59<12:56, 42.40it/s]
epoch 67100  training loss: 0.030483830720186234

 67%|███████████████████████████████████████████████████████████████████████████████████▉                                         | 67145/100000 [25:01<12:52, 42.54it/s]
epoch 67200  training loss: 0.03450734540820122


 67%|████████████████████████████████████████████████████████████████████████████████████▏                                        | 67310/100000 [25:05<13:20, 40.83it/s]
epoch 67300  training loss: 0.034155961126089096

 67%|████████████████████████████████████████████████████████████████████████████████████▏                                        | 67395/100000 [25:07<12:51, 42.29it/s]
epoch 67400  training loss: 0.036015912890434265

 67%|████████████████████████████████████████████████████████████████████████████████████▎                                        | 67480/100000 [25:09<12:52, 42.08it/s]
epoch 67500  training loss: 0.041350703686475754

 68%|████████████████████████████████████████████████████████████████████████████████████▍                                        | 67565/100000 [25:11<12:51, 42.04it/s]
epoch 67600  training loss: 0.0277863759547472

 68%|████████████████████████████████████████████████████████████████████████████████████▌                                        | 67650/100000 [25:13<12:45, 42.23it/s]
epoch 67700  training loss: 0.04633811488747597

 68%|████████████████████████████████████████████████████████████████████████████████████▋                                        | 67730/100000 [25:15<12:54, 41.66it/s]
epoch 67800  training loss: 0.03185507282614708


 68%|████████████████████████████████████████████████████████████████████████████████████▉                                        | 67900/100000 [25:19<12:45, 41.94it/s]
epoch 67900  training loss: 0.052989449352025986

 68%|████████████████████████████████████████████████████████████████████████████████████▉                                        | 67985/100000 [25:21<12:44, 41.89it/s]
epoch 68000  training loss: 0.03681962564587593
epoch 68000  clean testing loss: 0.17427024245262146

 68%|█████████████████████████████████████████████████████████████████████████████████████                                        | 68070/100000 [25:23<12:43, 41.82it/s]
epoch 68100  training loss: 0.031113818287849426

 68%|█████████████████████████████████████████████████████████████████████████████████████▏                                       | 68155/100000 [25:25<12:40, 41.89it/s]
epoch 68200  training loss: 0.0416555292904377

 68%|█████████████████████████████████████████████████████████████████████████████████████▎                                       | 68235/100000 [25:27<12:49, 41.29it/s]
epoch 68300  training loss: 0.031486012041568756


 68%|█████████████████████████████████████████████████████████████████████████████████████▌                                       | 68405/100000 [25:31<12:44, 41.32it/s]
epoch 68400  training loss: 0.04971881955862045

 68%|█████████████████████████████████████████████████████████████████████████████████████▌                                       | 68490/100000 [25:33<12:24, 42.33it/s]
epoch 68500  training loss: 0.03026779368519783

 69%|█████████████████████████████████████████████████████████████████████████████████████▋                                       | 68570/100000 [25:35<12:32, 41.74it/s]
epoch 68600  training loss: 0.04315255954861641

 69%|█████████████████████████████████████████████████████████████████████████████████████▊                                       | 68655/100000 [25:37<12:23, 42.17it/s]
epoch 68700  training loss: 0.03270043432712555

 69%|█████████████████████████████████████████████████████████████████████████████████████▉                                       | 68740/100000 [25:39<12:22, 42.12it/s]
epoch 68800  training loss: 0.03707586228847504


 69%|██████████████████████████████████████████████████████████████████████████████████████▏                                      | 68910/100000 [25:43<12:10, 42.57it/s]
epoch 68900  training loss: 0.042939621955156326

 69%|██████████████████████████████████████████████████████████████████████████████████████▏                                      | 68995/100000 [25:45<12:25, 41.57it/s]
epoch 69000  training loss: 0.03041251190006733
epoch 69000  clean testing loss: 0.16764356195926666

 69%|██████████████████████████████████████████████████████████████████████████████████████▎                                      | 69080/100000 [25:47<12:20, 41.73it/s]
epoch 69100  training loss: 0.035942383110523224

 69%|██████████████████████████████████████████████████████████████████████████████████████▍                                      | 69160/100000 [25:49<12:16, 41.88it/s]
epoch 69200  training loss: 0.03393370658159256

 69%|██████████████████████████████████████████████████████████████████████████████████████▌                                      | 69245/100000 [25:51<12:08, 42.19it/s]
epoch 69300  training loss: 0.028547024354338646


 69%|██████████████████████████████████████████████████████████████████████████████████████▊                                      | 69415/100000 [25:55<12:07, 42.06it/s]
epoch 69400  training loss: 0.040536362677812576

 70%|██████████████████████████████████████████████████████████████████████████████████████▉                                      | 69500/100000 [25:57<11:59, 42.42it/s]
epoch 69500  training loss: 0.05436255782842636

 70%|██████████████████████████████████████████████████████████████████████████████████████▉                                      | 69585/100000 [25:59<11:54, 42.57it/s]
epoch 69600  training loss: 0.03222981467843056

 70%|███████████████████████████████████████████████████████████████████████████████████████                                      | 69670/100000 [26:01<11:52, 42.57it/s]
